sameer_622, Mon Jun 08 00:03:52 +0000 2020, -78.748399, 42.907207, https://t.co/wgXOg6vm3l 
Sherrod_Dubs, Mon Jun 08 00:03:57 +0000 2020, -77.014398, 38.898603, I had to do a double take. #BlackLivesMatter 
SalonSnob, Mon Jun 08 00:04:18 +0000 2020, -87.632496, 41.883222, “Black Lives Matter. Some Forgot. We did Not. Pray for Equality. And Love. And Peace.”Today marks our 6 Year Weddi… https://t.co/RbG7wzXxiA 
EJ_Velasco1, Mon Jun 08 00:04:38 +0000 2020, -122.334461, 47.307568, What world is this? #BLM 
Iam_Bravo_Photo, Mon Jun 08 00:04:39 +0000 2020, -97.740607, 30.273893, Texas Capitol this morning. Black Lives Matter #BlackLivesMatter #austinprotests https://t.co/TUsjCVbMYR 
VanCarlito2003, Mon Jun 08 00:04:41 +0000 2020, 0.314300, 42.308346, This is very reverse racism is real and all lives matter of you.Please don’t apologize tomorrow. Move. 
KR_1973, Mon Jun 08 00:04:42 +0000 2020, 115.928319, -32.150101, Brilliant 
YaBoiEliTheNut, Mon Jun 08 00:04:44 +0000 2020, -86.142922, 39.779562, Trump would rather be caught dead than say Black Lives Matter. Absolute shame 
aewarren3, Mon Jun 08 00:04:45 +0000 2020, -89.922029, 35.133521, The crowd has marched down Main and split in two. They are shouting “Black lives matter,” trying to out do the other. 
mrsg_mchs, Mon Jun 08 00:05:07 +0000 2020, -86.791549, 36.200008, 👇🏽👇🏽👇🏽👇🏽!!! @teens_4equality 
DrChristineMann, Mon Jun 08 00:05:11 +0000 2020, -100.076888, 31.168893, Maybe the tide is turning? I’m ready to see legislation that supports your words, @MittRomney 
maiahasthoughts, Mon Jun 08 00:05:20 +0000 2020, -0.148936, 51.500092, A crossover 👌🏾 
ruth_laferriere, Mon Jun 08 00:05:22 +0000 2020, -80.748747, 32.189802, @1SierraCheyenne @thxitsthetrauma @icecube @LMPD ALL LIVES MATTER! We must not forget there are more than just black lives to protect! 
petrahoke, Mon Jun 08 00:05:25 +0000 2020, -77.014398, 38.898603, Gracias @PeriodicoPausa for the opportunity to help spread the #BlackLivesMatter movement across borders.I will n… https://t.co/0Uf42aU1wg 
bigcanadiano, Mon Jun 08 00:05:27 +0000 2020, -97.152676, 49.853805, I am more surprised at the Black lives Matter has gone on strong as it has for well over a week and no signs of ret… https://t.co/O9CbgURyUO 
SpookySarahSays, Mon Jun 08 00:05:42 +0000 2020, -111.858398, 33.639340, I hope he takes more action overall. This is a good start. 
ShabazzStuart, Mon Jun 08 00:05:51 +0000 2020, -73.948775, 40.655138, This is a good model. 
CaseyMcDannald, Mon Jun 08 00:06:03 +0000 2020, -89.922029, 35.133521, WHAT 
yayaaq, Mon Jun 08 00:06:06 +0000 2020, -1.449612, 53.383164, #JusticeForShukriAbdi 
maliafromvegas, Mon Jun 08 00:06:12 +0000 2020, -118.411907, 34.020789, YES! 
cc_kinnick, Mon Jun 08 00:06:17 +0000 2020, -117.700903, 34.071742, I've given Mittens a lot of shit, but I'll only praise this. 
shauna_nicole__, Mon Jun 08 00:06:31 +0000 2020, -75.987269, 40.557046, You don’t get to be a “human rights activist” and not support the Black Lives Matter movement. You don’t get to be… https://t.co/bCq3fH2grB 
cmullis1209, Mon Jun 08 00:06:36 +0000 2020, -84.433106, 33.767195, 🇺🇸This is either the future of the GOP or the next T Roosevelt post 1912 
lorihoeksema, Mon Jun 08 00:06:40 +0000 2020, -85.629913, 42.132165, Go away asshole 
GlentoranNUFC, Mon Jun 08 00:07:03 +0000 2020, -5.794588, 54.591649, @DylanGrayFTB @andyboyd77 Today I said twice all lives matter and had some Cunt reply with black lives matter. Tell… https://t.co/fYjhhUTqmL 
KelsitaJC, Mon Jun 08 00:07:09 +0000 2020, -70.775950, 42.193936, International Solidarity ☺️❤️https://t.co/GMpJW6376i 
SteveRi83474517, Mon Jun 08 00:07:11 +0000 2020, -82.362201, 41.408846, @InayaFolarin @yoakumgirl923 Like we don't already know that Black lives matter? Can All Lives Matter be okaywith… https://t.co/gVvX8YB2uO 
FourWitTheFive, Mon Jun 08 00:07:12 +0000 2020, -85.768241, 37.822244, Wait what?????? 
thoko__x, Mon Jun 08 00:07:16 +0000 2020, -1.130670, 52.626264, Black lives matter is about equality. We’re not seeking validation from the white man like at all. 
fredsober, Mon Jun 08 00:07:16 +0000 2020, -119.838712, 39.659374, @charliekirk11 “Black Lives Matter” is a fifth column arm that attacks and steals, kills, and destroys people and b… https://t.co/YmOK43EGWg 
BlueNGoldJoe, Mon Jun 08 00:07:19 +0000 2020, -122.040430, 37.893667, Ouch. A certain Massachusetts Senator's star is definitely fading. 
dinealonemusic, Mon Jun 08 00:07:31 +0000 2020, -79.272570, 43.629311, Members of @DboyIntl, @thedirtynil, #AttackInBlack &amp; Fuzz released a demo on @Bandcamp as Northern Primitive!All… https://t.co/NSPZLgOH5o 
stewartbryson, Mon Jun 08 00:07:43 +0000 2020, -84.503066, 34.110776, Way to go Mitt!!! I voted for you my friend. 
bonniey18630628, Mon Jun 08 00:07:56 +0000 2020, -81.968524, 36.709059, Yeah going to burn it down is what you crooked democrats are hoping for 
xEnchantedEllax, Mon Jun 08 00:08:23 +0000 2020, -73.831187, 40.670879, Anyway, don't forget Black Lives Matter!! It's still a long fight ahead of us, but we got this. Check out these 115… https://t.co/oEfoNj6puU 
mo2dmax, Mon Jun 08 00:08:31 +0000 2020, -80.639541, 41.105271, This is getting more remarkable every day. Do black lives matter to other Republicans? Thank you Senator Romney.… https://t.co/er2aWytqma 
bostonsfavson, Mon Jun 08 00:08:37 +0000 2020, -71.056500, 42.357700, We did this in honor of Peace Boston’s Mask-querade Virtual Fashion Show and BLACK LIVES MATTER.  Background Mural… https://t.co/jtz1PVGfiG 
jakesauser, Mon Jun 08 00:08:49 +0000 2020, -77.014398, 38.898603, Romney making actions speak louder than words and putting @SenSusanCollins to shame. Wonder how deeply concerned sh… https://t.co/wU9F1J2Mgx 
marilyn_jenna, Mon Jun 08 00:08:54 +0000 2020, -121.979527, 37.523645, Holy shit...@SenatorRomney marched with Black Lives Matter. Many will doubt his sincerity but at least he's out the… https://t.co/8GFWJydwiI 
julee1958, Mon Jun 08 00:09:01 +0000 2020, -114.052071, 51.142561, Nice 
MarcusDWright, Mon Jun 08 00:09:06 +0000 2020, -75.610684, 38.657398, At one point, I thought that he was the worst thing that could happen to this country. Now, he’s the hero we didn’t… https://t.co/B8fKASgYvn 
TheButterNutty, Mon Jun 08 00:09:21 +0000 2020, -84.453724, 39.161451, Go Mittens! 
